nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,Unnamed: 9
Mesón Restaurante Los Verdes,44,"3,5",5779,,"['Internacional', ' Española', ' Mediterránea']",,"Avenida Monforte de Lemos 36 Centro Comercial La Vaguada, 28029 Madrid España","['6', '3', '13', '14', '8']",
Swing,9,"4,0",5781,,,,"Calle Sanchonuno 13, 28034 Madrid España","['0', '1', '0', '4', '4']",
,2,"5,0",.º 3418,"['10', '30']",['Española'],"['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle del Espíritu Santo, 21, 28004 Madrid España","['0', '0', '0', '0', '2']",
Papizza Gran Vía 26,25,"3,5",5783,,"['Pizza', ' Comida rápida', ' Italiana']",,"Calle Gran Via 26, 28013 Madrid España","['2', '1', '4', '3', '5']",
Fu Hao,12,"4,0",5784,,"['China', ' Asiática']",,"Calle Villalobos, 20, 28018 Madrid España","['2', '0', '0', '7', '3']",
Cerveceria EL Gustazo,32,"3,5",59,,"['Mediterránea', ' Española']",,"Calle Alcalde Pedro González González n°15, 28914 Leganés España","['5', '4', '5', '7', '11']",
La Familia,11,"4,0",5803,,,,"Calle de Fernández de los Rios, 13, 28015 Madrid España","['1', '1', '0', '3', '5']",
Taberna La Imperial,58,"3,5",5804,,"['Bar', ' Española', ' Pub']",,"Calle de Augusto Figueroa No. 24, 28004 Madrid España","['8', '5', '16', '7', '17']",
Le Coq Serrano,15,"3,5",5805,"['4', '13']","['Americana', ' Restaurante de carne', ' Peruana', ' Española', ' Sudamericana']","['Desayuno', ' Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle de Serrano 93, 28006 Madrid España","['2', '1', '0', '8', '1']",
Delitaca,22,"3,5",5806,,"['Mediterránea', ' Griega', ' Internacional']",,"Mercado de San Anton, Madrid España","['4', '0', '1', '8', '5']",
Street Lion's Food,2,"5,0",5808,,"['Comidas', ' Cenas']",,"Calle de Fernández de los Ríos 77 77 Bajo B, 28015 Madrid España","['0', '0', '0', '0', '2']",
Bar Ártico,7,"4,0",5807,,['Española'],,"Calle Gaztambide 57, 28015 Madrid España","['1', '0', '1', '0', '5']",
El Invernadero,6,"5,0",5825,,"['Comidas', ' Cenas']",,"Calle Serrano No 46 Hotel Petit Palace Embassy, 28001 Madrid España","['0', '0', '0', '1', '5']",
Cervecería Restaurante La Fábrica,5,"4,0",5826,,"['Europea', ' Española']",,"Calle Adolfo Bioy Casares, 2 Centro Comercial La Gavia, 28031 Madrid España","['0', '0', '1', '2', '2']",
Casterráneo,4,"4,0",5827,"['13', '50']",['Mediterránea'],"['Comidas', ' Cenas', ' Brunch']","Calle del Gral. Pardiñas, 92, 28006 Madrid España","['0', '1', '0', '1', '2']",
Donde Nacho,3,"5,0",107,"['10', '25']","['Mexicana', ' Comida rápida', ' Española', ' Bar', ' Café', ' Pub']","['Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle Paris 6, 28224 Pozuelo de Alarcón España","['0', '0', '0', '0', '3']",
El Bar de Luis,3,"4,5",5828,,"['Bar', ' Pub']",,"Calle Magallanes, 17, 28015 Madrid España","['0', '0', '0', '1', '2']",
Three Jack's Cafe,2,"5,0",5829,,"['Café', ' Española']",,"C/ Concepción Jeronima, 30, Madrid España","['0', '0', '0', '0', '2']",
La Cocina de San Román,21,"3,5",5830,,"['Española', ' Internacional']",,"Calle Cochabamba 24, 28016 Madrid España","['3', '3', '1', '8', '6']",
Bulevar,11,"4,0",5852,,"['Mediterránea', ' Española']",,"Calle Mauricio Legendre 16, 28046 Madrid España","['1', '0', '1', '5', '2']",
Lavanda Restaurante Y Cafeteria,3,"5,0",5854,"['5', '13']","['Marisco', ' Española']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","cuatro Caminos, calle raimundo fernandez villaverde 16, 28003 Madrid España","['0', '0', '0', '0', '3']",
Nuevo Trapio,6,"4,5",5855,,['Española'],,"Calle Maestro Alonso 3, 28028 Madrid España","['0', '0', '1', '2', '2']",
Bar Mapenda,2,"5,0",5856,,['Africana'],,"Calle Fe 9, 28012 Madrid España","['0', '0', '0', '0', '2']",
Matica Fresh Food,9,"4,0",103,,['Mediterránea'],,"Avenida de la Industria 37, 28108 Alcobendas España","['2', '0', '0', '2', '5']",
Burger Grill,11,"3,5",5857,,"['Comidas', ' Cenas']",,"Calle Toledo, 65 BAº L1 1, 28005 Madrid España","['2', '0', '0', '1', '6']",
Patagonia Street,3,"4,5",5859,,,,"Calle de Lope de Vega, 20, 28014 Madrid España","['0', '0', '0', '1', '0']",
Cerveceria 100 Montaditos,17,"4,0",5879,,['Española'],,"Calle Fuencarral 96, 28004 Madrid España","['3', '0', '0', '4', '4']",
Cafeteria Creperie Karinas,3,"4,5",5880,,,,"Calle Boltana 17, 28022 Madrid España","['0', '0', '0', '1', '2']",
Mirador del Olivar,22,"3,5",5882,,['Internacional'],,"Avda de Dublín s/n. Campo de las Naciones Golf Olivar de la Hinojosa, 28042 Madrid España","['3', '2', '6', '6', '5']",
Filomena Terraza,6,"4,0",5883,,['Española'],,"C/ Del Hierro 4E, 28045 Madrid España","['0', '0', '0', '1', '3']",
Bombón Boss,4,"4,0",93,,['Española'],,"Avenida De Europa., Alcorcón España","['0', '0', '1', '0', '2']",
Cazorla,109,"3,5",5884,,"['Mediterránea', ' Española']",,"Avenida Machupichu 16, 28043 Madrid España","['16', '10', '25', '37', '17']",
Tony Roma's,38,"3,5",5906,"['15', '20']",['Americana'],"['Comidas', ' Cenas']","Calle Silvano, 92, 28043 Madrid España","['8', '5', '4', '3', '18']",
Sidreria Casa Lulo - Restaurante Asturiano,122,"3,0",5907,,"['Bar', ' Española']",,"Avenida de la Reina Victoria 50, 28003 Madrid España","['20', '17', '24', '28', '30']",
Café & Té,43,"3,5",5908,"['10', '25']",['Café'],"['Desayuno', ' Comidas', ' Cenas']","Calle de La Princesa 3 Plza.Cubos, 28008 Madrid España","['7', '1', '6', '4', '13']",
Mesón El Águila,112,"3,5",5909,"['25', '35']",['Española'],"['Comidas', ' Cenas']","Calle de Lago Como, 2, 28032 Madrid España","['14', '10', '28', '37', '22']",
Taberna Puertochico Chamartin,14,"3,5",5910,,"['Española', ' Bar', ' Pub']",,"Avenida De Burgos 40, 28036 Madrid España","['4', '0', '1', '3', '6']",
Al Madina,5,"4,0",5911,"['8', '15']","['Barbacoa', ' De Oriente Medio', ' Árabe']",,"Calle Jacometrezo 15, 28013 Madrid España","['0', '0', '0', '0', '3']",
Restaurante Bar El Racó de Aranaz,24,"3,5",5912,"['12', '28']","['Española', ' Mediterránea']","['Desayuno', ' Comidas', ' Cenas', ' Bebidas']","Calle General Aranaz 35, 28027 Madrid España","['6', '1', '6', '2', '8']",
Happy Green,13,"3,5",5934,"['4', '11']",['Saludable'],['Opciones vegetarianas'],"Calle San Marcos 28 Intersección con Calle de Barbieri, 28007 Madrid España","['1', '2', '1', '1', '5']",
El Junqueral,12,"4,0",5936,,['Española'],,"Calle Alcala 356, 28027 Madrid España","['0', '2', '2', '2', '4']",
Rubí,8,"4,0",5935,,['Española'],,"San Cipriano, 67, 28032 Madrid España","['0', '2', '1', '1', '4']",
Abrasa Moraleja,51,"3,5",105,,"['Española', ' Internacional', ' Europea', ' Contemporánea']",,"C. De La Estafeta, 2 Plaza De La Moraleja, 28109 Alcobendas España","['10', '6', '7', '16', '11']",
La Marita,7,"4,0",5938,,"['Restaurante de carne', ' Española']",,"Ayala 87, Madrid España","['2', '0', '0', '0', '5']",
Coolumbus Cerveceria & Tapas,4,"4,5",5937,,,,"Calle Mayor, 36,38, 28103, Madrid España","['0', '0', '0', '1', '0']",
Restaurante Bar Supremo,9,"4,0",5939,,"['Mediterránea', ' Española']",,"Calle del Marques de La Ensenada 6, 28004 Madrid España","['1', '0', '2', '3', '3']",
restaurante Candeal,6,"4,0",39,,['Española'],,"Calle Guatemala s/n Junto a comisaría de policia local de coslada, 28822 Coslada España","['0', '0', '1', '4', '1']",
Mejor Sabrá,4,"4,5",5959,"['2', '20']","['Comida rápida', ' Española', ' Comedor']","['Desayuno', ' Comidas']","Calle Alcalde Sainz de Baranda, 84, 28007 Madrid España","['0', '0', '0', '2', '2']",
El Rincon de Rovier,4,"4,5",5960,"['9', '12']",['Española'],,"Calle Moratines 15, 28005 Madrid España","['0', '0', '0', '1', '2']",
El Castizo,5,"4,0",5961,,,,"Calle de Luis de Hoyos Sainz 174, 28030 Madrid España","['1', '0', '0', '1', '3']",
Sumak Gastrobar,2,"5,0",5963,,"['Peruana', ' Sudamericana']",,"Calle de Benito Gutierrez 5, 28008 Madrid España","['0', '0', '0', '0', '1']",
La Tavernetta Del Pirata,6,"3,5",5964,,"['Italiana', ' Napolitana', ' De Campania', ' Del sur de Italia']",,"Calle Santa Engracia, 26, 28010 Madrid España","['0', '1', '2', '1', '2']",
La Terraza de Chachi Piruli,6,"4,0",5965,"['4', '30']",['Española'],"['Bebidas', ' Comidas', ' Cenas']","Avenida Monasterio de Silos 20B, 28034 Madrid España","['0', '1', '0', '3', '2']",
Rincon De Manoteras,2,"5,0",5989,,['Mediterránea'],,"Nave 1 Avenida Manoteras 22, 28050 Madrid España","['0', '0', '0', '0', '2']",
Maneki Ramen,7,"4,0",5988,"['2', '8']","['China', ' Japonesa', ' Asiática', ' Sopas']","['Desayuno', ' Comidas', ' Cenas', ' Bebidas']","Calle Calahorra 15 Vicálvaro, 28032 Madrid España","['1', '0', '0', '2', '4']",
Bar Carallo,99,"3,0",5990,"['30', '35']","['Mediterránea', ' Europea', ' Española', ' Contemporánea', ' Fusión']","['Comidas', ' Cenas']","Calle de Serrano, 45, 28001 Madrid España","['20', '17', '11', '15', '33']",
Hamburguesa Nostra,15,"3,5",5991,,"['Americana', ' Comida rápida']",,"Calle de la Princesa 26, 28008 Madrid España","['2', '3', '1', '2', '4']",
Bodega La Fuente,4,"4,5",99,,"['Bar', ' Pub']",,"Carretera de Boadilla del Monte 2 Prolongacion Gran Via, Zona peatonal, 28220 Majadahonda España","['0', '0', '0', '2', '2']",
Rodilla,3,"4,5",79,"['3', '10']",['Café'],"['Comidas', ' Cenas']","CC. Pza. Norte 2, Local B042, 28703 San Sebastián de los Reyes España","['0', '0', '1', '0', '2']",
Belbo Piropo,36,"3,5",5992,"['40', '60']","['Mediterránea', ' Española']","['Comidas', ' Cenas']","Plaza de Santa Ana 3, 28012 Madrid España","['6', '1', '3', '1', '9']",
Mamá Kokore,3,"5,0",6010,,"['Comidas', ' Cenas']",,"Calle de German Perez Carrasco 48 Próxima a Metro Pueblo Nuevo, 28027 Madrid España","['0', '0', '0', '0', '2']",
Xipe | Margaritas & Cocina Mexicana,7,"3,5",6011,,"['Mexicana', ' Española']",,"Paseo de la Castellana 105, 28046 Madrid España","['2', '0', '0', '1', '4']",
La Gruta del Parque del Buen Retiro,2,"4,5",6012,,['Española'],,"Plaza Maestro Villa Parque del Retiro, 28009 Madrid España","['0', '0', '0', '1', '0']",
Refusion Delivery,6,"4,0",6013,"['5', '15']","['Africana', ' De Oriente Medio', ' Venezolana', ' Sudamericana']","['Comidas', ' Cenas']","Calle del Capitan Blanco Argibay 65, 28029 Madrid España","['1', '0', '0', '3', '2']",
Tierno,2,"5,0",6014,,"['Italiana', ' Española']",,"Calle Barcelo 6 2 Planta Local 310, 28004 Madrid España","['0', '0', '0', '0', '2']",
Dehesa Extremeña,8,"4,0",6015,,['Reservas'],,"Calle de García de Paredes, 86, 28010 Madrid España","['0', '0', '3', '4', '1']",
EL Rincon de Troya,5,"4,5",6017,,,,"Calle Troya 27 Canillejas,musas A 5 Min Del Estadio Wanda Metropolitano, 28022 Madrid España","['0', '0', '0', '3', '2']",
Hare Krisna,2,"5,0",6037,"['7', '10']",['Mediterránea'],,"Calle Espiritu Santo 19, 28004 Madrid España","['0', '0', '0', '0', '2']",
De Mil Amores,4,"4,0",6040,,['Española'],,"Don Ramón De La Cruz, 5 918949901, 28001 Madrid España","['1', '0', '0', '0', '3']",
La Taquilla,2,"4,5",6041,,['Internacional'],,"Calle De Rodríguez San Pedro 44, 28015 Madrid España","['0', '0', '0', '1', '1']",
Sobrevino,22,"3,5",6042,,"['Española', ' Europea']",,"Cl Conde De Peñalver 94, 28006 Madrid España","['4', '1', '4', '8', '4']",
La Pepa Gastro Taberna,2,"4,5",6043,,['Española'],,"Calle de Ríos Rosas 12, Madrid España","['0', '0', '0', '1', '1']",
EL Roble,5,"4,0",6044,"['36', '60']","['Internacional', ' Mediterránea', ' Europea', ' Contemporánea']",,"Calle o'Donnell 53, 28009 Madrid España","['0', '0', '1', '3', '1']",
Pignic Iberico,2,"4,5",6045,"['2', '10']","['Café', ' Comida rápida', ' Mediterránea', ' Española']","['Desayuno', ' Brunch', ' Bebidas', ' Comidas', ' Cenas']","calle de Tetuan 19 Bajo, 28013 Madrid España","['0', '0', '0', '0', '1']",
El Escondite de Rober,4,"4,0",6064,,"['Bar', ' Pub']",,"Calle Arauca 6, 28033 Madrid España","['1', '0', '0', '0', '3']",
Restaurante Shiray,3,"4,5",6065,,"['Bar', ' Café', ' Pub', ' Comedor', ' Bares para comer']",,"Calle Albasanz 44, 28037 Madrid España","['0', '0', '0', '2', '0']",
Casa Félix,12,"3,5",6068,"['7', '18']","['Española', ' Restaurante de carne']",['Comidas'],"Calle Damasquillo 5, 28044 Madrid España","['3', '0', '2', '4', '3']",
Zuji Santo Domingo,3,"4,0",6067,,,,"Cuesta de Sto. Domingo, 24, 28013 Madrid España","['0', '0', '1', '1', '1']",
El Anticuario,59,"3,5",69,"['12', '22']","['Española', ' Mediterránea']","['Comidas', ' Cenas', ' Bebidas']","Plaza Canto Redondo S/N, 28901 Getafe España","['9', '7', '13', '17', '11']",
El Mentidero café,12,"4,0",6069,"['10', '30']","['Café', ' Mediterránea']","['Desayuno', ' Comidas', ' Cenas', ' Brunch']","Calle Alameda 6, 28014 Madrid España","['1', '0', '3', '2', '3']",
Holy Hookah,2,"5,0",6070,"['2', '25']","['Comida rápida', ' Street food / Comida en la calle']",,"Calle Amaniel 36, 28015 Madrid España","['0', '0', '0', '0', '2']",
Restaurante Chino La Muralla,6,"4,0",6090,,"['Comidas', ' Cenas']",,"Calle Alar del Rey 14 Barajas, 28042 Madrid España","['0', '0', '3', '1', '2']",
Cachopo's By La Cueva,2,"4,5",6091,,"['Bar', ' Café', ' Española', ' Pub', ' Vinoteca', ' Bares para comer']",,"Calle Maestro Alonso 3 Bajo Izquierda, 28028 Madrid España","['0', '0', '0', '1', '1']",
A Mala Saña,2,"4,5",6092,,['Reservas'],,"C. de San Germán, 50, 28020 Madrid España","['0', '0', '0', '1', '1']",
Asador Pikondo Sidrería,163,"3,5",6094,,"['Española', ' Asador', ' Contemporánea', ' Mediterránea']",,"Calle Ocaña, 112, 28047 Madrid España","['34', '14', '25', '44', '46']",
Lead Bar,5,"4,0",6093,"['7', '15']","['Americana', ' Mediterránea', ' Española', ' Venezolana', ' Sudamericana']","['Desayuno', ' Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle Trafalgar, 8, 28010 Madrid España","['0', '1', '1', '0', '3']",
Bar Restaurante Salvador,2,"5,0",6095,,['Española'],,"C/telemaco 8, 28027 Madrid España","['0', '0', '0', '0', '1']",
La esquina de Vinaroz 28,19,"3,5",6096,,"['Española', ' Internacional']",,"Calle Vinaroz 28, 28002 Madrid España","['1', '2', '7', '5', '3']",
Don Xtremo,7,"4,0",6116,,,,"Calle Manuel García, 29 Junto al metro Colonia Jardín, 28024 Madrid España","['0', '0', '3', '1', '3']",
Alé Poké,2,"5,0",6117,"['9', '14']","['Asiática', ' Street food / Comida en la calle', ' Hawaiana']","['Comidas', ' Cenas']","Calle del Doctor Esquerdo 12, 28028 Madrid España","['0', '0', '0', '0', '2']",
Seven Burger,4,"4,0",6118,,,,"Calle del Corazón de María, 57, 28002 Madrid España","['0', '1', '0', '1', '1']",
Pi' Oro Pastelería Artesana,2,"5,0",6119,,"['Desayuno', ' Comidas', ' Cenas']",,"Calle Galileo 93, 28003 Madrid España","['0', '0', '0', '0', '2']",
El Gurú,43,"3,5",6120,"['5', '30']","['Española', ' Contemporánea', ' Bar', ' Mediterránea', ' Europea', ' Pub', ' Centroeuropea']","['Desayuno', ' Bebidas', ' Comidas', ' Cenas', ' Brunch']","Calle Suecia 36, 28022 Madrid España","['6', '4', '11', '16', '6']",
Arslan Doner Kebab,3,"4,5",45,,['Turca'],,"Calle Aloe 14, 28522 Vaciamadrid España","['0', '0', '0', '1', '2']",
Dogos's Grill,8,"4,0",6121,,['Reservas'],,"Calle Sílfide, 3, 28022 Madrid España","['2', '0', '0', '1', '5']",
T.Q. Té de Maravillas,3,"5,0",6139,,"['China', ' India', ' Africana', ' Asiática']",,"Calle Bravo Murillo 122 Local B120, 28020 Madrid España","['0', '0', '0', '0', '3']",
Redondo,2,"5,0",6142,,"['Italiana', ' Pizza', ' Mediterránea', ' Española', ' Bares para comer']",,"Calle del Mezquite, 2, 28045 Madrid España","['0', '0', '0', '0', '2']",
Burnout Burgers,3,"4,0",6141,,"['Americana', ' Comida rápida']",,"Alcala 12 Galeria Canalejas, 28014 Madrid España","['0', '0', '1', '0', '1']",
"FEITO​ RIO ""La Tapería""",23,"3,5",6143,,"['Fusión', ' Española']",,"C/ Eugenio Caxes, 14, 28026 Madrid España","['3', '3', '4', '7', '6']",
Restaurante Peruano Casa Marquez,9,"4,0",6146,,"['Peruana', ' Latina', ' Española', ' Sudamericana']",,"Calle Istúriz, 14, 28020 Madrid España","['2', '0', '1', '1', '5']",
restaurante cafeteria Kopas,18,"3,5",6144,,"['Mediterránea', ' Española']",,"Calle Boltana numero 118, 28022 Madrid España","['3', '2', '5', '2', '6']",
Panaderia Micar,2,"4,5",6145,,['Española'],,"C/marqués De Zafra 27 Panadería, 28028 Madrid España","['0', '0', '0', '1', '1']",
Restaurante Kira,22,"4,0",6163,,['Española'],,"Avenida Osa Mayor 70, 28023 Madrid España","['1', '1', '5', '6', '7']",
Samsa Club,5,"4,0",6164,"['8', '22']",['Mediterránea'],,"Avenida de Europa 27, 28023 Madrid España","['1', '0', '0', '0', '4']",
L´Escampreru,60,"3,0",6165,,"['Mediterránea', ' Española', ' Bar', ' Pub']",,"Calle Del Corazón De María, 49, 28002 Madrid España","['11', '4', '14', '22', '7']",
llaollao,15,"3,5",6166,"['2', '6']","['Comidas', ' Cenas']",['Acceso para discapacitados'],"Cl. Fuencarral, 43, 28004 Madrid España","['2', '0', '1', '4', '3']",
La Tabla de Góngora,63,"3,5",6167,,['Española'],,"Avenida Camino de Santiago 21, 28050 Madrid España","['12', '6', '11', '13', '20']",
D’kebab Food,10,"3,5",6168,,"['Turca', ' De Oriente Medio']",,"Calle Hortaleza 42, 28004 Madrid España","['2', '0', '0', '4', '2']",
Sushiwakka Express,26,"3,5",6170,,"['Japonesa', ' Sushi', ' Asiática', ' Comida rápida']",,"Calle de Alcala 337, 28027 Madrid España","['3', '3', '8', '8', '4']",
Restaurante Casa las Meigas,10,"4,0",6189,,['Española'],,"Plaza de Espana 9, 28008 Madrid España","['2', '0', '1', '2', '4']",
Chevere´s Food Snaks and Drinks,2,"5,0",6191,,,,"Calle Idioma Esperanto, 2, 28017 Madrid España","['0', '0', '0', '0', '2']",
Gourmet Bar Madrid,26,"3,5",6192,,['Española'],,"Calle Amsterdam 3 Novotel Campo de las Naciones, 28042 Madrid España","['3', '3', '4', '4', '3']",
Mahalo Poké MD30,4,"4,0",6193,"['5', '15']","['Comida rápida', ' Saludable', ' Hawaiana']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Avenida de Mediterraneo 30, 28007 Madrid España","['0', '1', '0', '1', '2']",
MARIANA Café Bar & After Work,33,"3,5",6194,,"['Desayuno', ' Comidas', ' Cenas', ' Brunch']",,"Calle Juan de Mariana 14, 28045 Madrid España","['5', '2', '5', '13', '8']",
Poke House - Plenilunio,2,"4,5",6196,"['9', '13']",['Hawaiana'],,"Calle de Aracne, 28022 Madrid España","['0', '0', '0', '1', '1']",
Confortel Pio XII Restaurant,20,"3,5",6195,,['Española'],,"Avenida Pio XII 77, 28016 Madrid España","['1', '2', '5', '6', '2']",
Little Caesars Pizza,2,"4,5",6213,,['Pizza'],,"Calle De Bravo Murillo, 238, 28020 Madrid España","['0', '0', '0', '1', '1']",
Restaurante FONSI,11,"3,5",67,,['Española'],,"Av. Carlos Sainz, 7 Av Carlos Sainz 7 Edificio De La Peugeot Lateral, 28914 Leganés España","['2', '0', '1', '4', '4']",
Casa Molins,28,"3,5",6214,,['Española'],,"Barbastro, 3, 28022 Madrid España","['2', '1', '10', '10', '1']",
Tei,46,"3,0",6216,,"['China', ' Japonesa', ' Asiática']",,"Calle Ayala 64 Ofrecemos Parking Gratuito Para Nuestros Comensales, 28001 Madrid España","['6', '8', '10', '12', '8']",
Moniberic Goya,3,"5,0",6215,,['Española'],,"Calle Alcantara 14, 28006 Madrid España","['0', '0', '0', '0', '3']",
Restaurante Leomar,19,"3,5",6217,,"['Comida rápida', ' Española']",,"Paseo de la Virgen del Puerto 63, 28005 Madrid España","['3', '1', '3', '3', '9']",
Pizza al Cuadrado,14,"3,5",6218,,"['Italiana', ' Pizza']",,"Paseo Castellana 79, 28046 Madrid España","['2', '1', '2', '2', '5']",
Kuku,2,"4,5",6239,,"['Japonesa', ' Comida rápida', ' Sushi', ' Asiática', ' Fusión japonesa']",,"Calle Lope de Rueda 19, 28009 Madrid España","['0', '0', '0', '1', '1']",
Valvás,44,"3,5",6242,"['10', '25']","['Mediterránea', ' Española']","['Comidas', ' Cenas', ' Brunch']","Calle Conde de Penalver 35, 28006 Madrid España","['12', '0', '9', '9', '12']",
Taberna paraíso,3,"5,0",6241,,,,"Calle de la Lechuga, 2, 28012 Madrid España","['0', '0', '0', '0', '3']",
Ta chi lin,7,"4,0",6243,,['China'],,"Calle Hermanos de Pablo 8, 28027 Madrid España","['1', '0', '0', '3', '3']",
La Cocina de Danielli,22,"3,5",6244,,"['Mediterránea', ' Española']",,"Calle de Serrano, 224, 28016 Madrid España","['2', '4', '6', '4', '5']",
